,week,month,year,date,total_revenue
113,49,12,2009,2009-12-01,232177.5100000049
116,50,12,2009,2009-12-07,207908.73000000304
118,51,12,2009,2009-12-14,207685.8700000016
120,52,12,2009,2009-12-21,35731.90000000003
0,1,1,2010,2010-01-04,167636.95000000086
2,2,1,2010,2010-01-11,125493.60999999892
4,3,1,2010,2010-01-18,119473.3509999989
6,4,1,2010,2010-01-25,143198.761
9,5,2,2010,2010-02-01,112299.69199999892
11,6,2,2010,2010-02-08,80059.6599999995
13,7,2,2010,2010-02-15,160506.4020000012
15,8,2,2010,2010-02-22,151693.20200000104
18,9,3,2010,2010-03-01,151813.96000000116
20,10,3,2010,2010-03-08,118785.09999999893
22,11,3,2010,2010-03-15,164459.77100000027
24,12,3,2010,2010-03-22,172063.68000000075
26,13,3,2010,2010-03-29,89855.95999999967
28,13,4,2010,2010-04-01,28646.660000000076
30,14,4,2010,2010-04-06,124314.75999999935
32,15,4,2010,2010-04-12,141539.38099999944
34,16,4,2010,2010-04-19,138922.6199999997
36,17,4,2010,2010-04-26,158558.58099999974
38,17,5,2010,2010-05-02,12342.170000000013
40,18,5,2010,2010-05-04,149102.8300000001
42,19,5,2010,2010-05-10,155673.5400000018
44,20,5,2010,2010-05-17,138681.5699999983
46,21,5,2010,2010-05-24,142033.26999999874
49,22,6,2010,2010-06-01,90358.0599999986
51,23,6,2010,2010-06-07,200239.71000000244
53,24,6,2010,2010-06-14,126987.38999999831
55,25,6,2010,2010-06-21,103924.83999999861
57,26,6,2010,2010-06-28,114861.12999999862
59,26,7,2010,2010-07-01,55932.43999999966
61,27,7,2010,2010-07-05,136775.1199999993
63,28,7,2010,2010-07-12,144495.57999999897
65,29,7,2010,2010-07-19,133615.99999999854
67,30,7,2010,2010-07-26,118917.02999999831
69,30,8,2010,2010-08-01,30637.95000000003
70,31,8,2010,2010-08-02,117866.3699999983
72,32,8,2010,2010-08-09,139842.0699999989
74,33,8,2010,2010-08-16,154786.91000000027
76,34,8,2010,2010-08-23,136279.5499999991
78,35,8,2010,2010-08-31,22811.75000000007
80,35,9,2010,2010-09-01,100807.79999999946
82,36,9,2010,2010-09-06,119333.9399999982
84,37,9,2010,2010-09-13,155778.92099999948
86,38,9,2010,2010-09-20,223587.04000000286
88,39,9,2010,2010-09-27,229506.2500000048
90,39,10,2010,2010-10-01,72886.40999999933
92,40,10,2010,2010-10-04,243007.44000000457
94,41,10,2010,2010-10-11,298614.0400000073
96,42,10,2010,2010-10-18,220882.67000000464
98,43,10,2010,2010-10-25,197721.45000000208
101,44,11,2010,2010-11-01,262597.86000000814
103,45,11,2010,2010-11-08,282707.7010000081
105,46,11,2010,2010-11-15,261610.06100000872
107,47,11,2010,2010-11-22,246492.99000000808
109,48,11,2010,2010-11-29,113051.40999999884
111,48,12,2010,2010-12-01,148627.9700000007
114,49,12,2010,2010-12-06,212619.13000000297
117,50,12,2010,2010-12-13,163116.12000000078
119,51,12,2010,2010-12-20,46059.510000000024
1,1,1,2011,2011-01-04,114636.7999999984
3,2,1,2011,2011-01-10,154344.84999999995
5,3,1,2011,2011-01-17,175452.23000000062
7,4,1,2011,2011-01-24,104860.9999999986
8,5,1,2011,2011-01-31,18806.430000000048
10,5,2,2011,2011-02-01,87149.37999999947
12,6,2,2011,2011-02-07,87827.93999999951
14,7,2,2011,2011-02-14,125700.1499999987
16,8,2,2011,2011-02-21,130380.76999999824
17,9,2,2011,2011-02-28,15026.680000000038
19,9,3,2011,2011-03-01,102360.13999999882
21,10,3,2011,2011-03-07,112193.92999999887
23,11,3,2011,2011-03-14,137669.81999999858
25,12,3,2011,2011-03-21,129560.71999999843
27,13,3,2011,2011-03-28,112297.14999999887
29,13,4,2011,2011-04-01,31360.430000000106
31,14,4,2011,2011-04-04,119697.72999999831
33,15,4,2011,2011-04-11,134930.8209999988
35,16,4,2011,2011-04-18,115969.3999999994
37,17,4,2011,2011-04-26,66415.95000000007
39,17,5,2011,2011-05-01,6958.109999999997
41,18,5,2011,2011-05-03,131094.1199999994
43,19,5,2011,2011-05-09,178574.31999999992
45,20,5,2011,2011-05-16,195818.78999999957
47,21,5,2011,2011-05-23,146776.61000000077
48,22,5,2011,2011-05-31,18133.20000000001
50,22,6,2011,2011-06-01,83907.16999999965
52,23,6,2011,2011-06-06,193704.11999999874
54,24,6,2011,2011-06-13,171702.43999999957
56,25,6,2011,2011-06-20,112600.66999999907
58,26,6,2011,2011-06-27,98131.64999999948
60,26,7,2011,2011-07-01,18119.17000000006
62,27,7,2011,2011-07-04,131222.5199999993
64,28,7,2011,2011-07-11,118078.72999999874
66,29,7,2011,2011-07-18,167284.43999999927
68,30,7,2011,2011-07-25,164258.04099999976
71,31,8,2011,2011-08-01,155943.0000000004
73,32,8,2011,2011-08-08,143544.61999999968
75,33,8,2011,2011-08-15,167634.39999999956
77,34,8,2011,2011-08-22,147595.96000000052
79,35,8,2011,2011-08-30,29333.059999999994
81,35,9,2011,2011-09-01,84492.90999999952
83,36,9,2011,2011-09-05,166212.45999999924
85,37,9,2011,2011-09-12,208718.8799999982
87,38,9,2011,2011-09-19,309091.50100000505
89,39,9,2011,2011-09-26,182174.45099999852
91,39,10,2011,2011-10-02,11479.980000000014
93,40,10,2011,2011-10-03,296214.2400000022
95,41,10,2011,2011-10-10,203708.95000000004
97,42,10,2011,2011-10-17,254775.57000000097
99,43,10,2011,2011-10-24,236456.84000000052
100,44,10,2011,2011-10-31,33006.87000000008
102,44,11,2011,2011-11-01,226367.14999999988
104,45,11,2011,2011-11-07,263717.33000000083
106,46,11,2011,2011-11-14,276216.9800000018
108,47,11,2011,2011-11-21,248234.58000000165
110,48,11,2011,2011-11-28,141669.56999999916
112,48,12,2011,2011-12-01,109163.46999999888
115,49,12,2011,2011-12-05,408044.97000000026
